"#","URL","Status","Note","Tab Open","Failed"
"1","https://www.bmwride.com/","pending","","yes","no"
"2","https://www.bmwride.com/1250gs-offer/","pending","","yes","no"
"3","https://www.bmwride.com/1250-gs-offer/","pending","","yes","no"
"4","https://www.bmwride.com/2020-bmw-f-850-gs/","pending","","yes","no"
"5","https://www.bmwride.com/2020-bmw-f-850-gs-adventure/","pending","","yes","no"
"6","https://www.bmwride.com/2020-bmw-f-900-r/","pending","","no","no"
"7","https://www.bmwride.com/2020-bmw-r-ninet/","pending","","no","no"
"8","https://www.bmwride.com/2020-bmw-r-ninet-pure/","pending","","no","no"
"9","https://www.bmwride.com/2020-bmw-r-ninet-scrambler/","pending","","no","no"
"10","https://www.bmwride.com/2020-bmw-r-ninet-scrambler-inventory-for-sale/","pending","","no","no"
"11","https://www.bmwride.com/2020-bmw-s-1000-rr/","pending","","no","no"
"12","https://www.bmwride.com/2021-bmw-f-750-gs/","pending","","no","no"
"13","https://www.bmwride.com/2021-bmw-f-750-gs-edition-40-years-gs/","pending","","no","no"
"14","https://www.bmwride.com/2021-bmw-f-850-gs/","pending","","no","no"
"15","https://www.bmwride.com/2021-bmw-f-850-gs-adventure/","pending","","no","no"
"16","https://www.bmwride.com/2021-bmw-f-850-gs-edition-40-years-gs/","pending","","no","no"
"17","https://www.bmwride.com/2021-bmw-f-900r/","pending","","no","no"
"18","https://www.bmwride.com/2021-bmw-f-900-xr/","pending","","no","no"
"19","https://www.bmwride.com/2021-bmw-g-310-gs/","pending","","no","no"
"20","https://www.bmwride.com/2021-bmw-g-310-gs-edition-40-years-gs/","pending","","no","no"
"21","https://www.bmwride.com/2021-bmw-g-310-gs-edition-40-years-gs-2/","pending","","no","no"
"22","https://www.bmwride.com/2021-bmw-m-1000-rr/","pending","","no","no"
"23","https://www.bmwride.com/2021-bmw-r-1250-gs/","pending","","no","no"
"24","https://www.bmwride.com/2021-bmw-r-1250-gs-40-years-gs-edition/","pending","","no","no"
"25","https://www.bmwride.com/2021-bmw-r-1250-gs-adventure/","pending","","no","no"
"26","https://www.bmwride.com/2021-bmw-r-1250-rt/","pending","","no","no"
"27","https://www.bmwride.com/2021-bmw-r-18-classic/","pending","","no","no"
"28","https://www.bmwride.com/2021-bmw-r-ninet/","pending","","no","no"
"29","https://www.bmwride.com/2021-bmw-r-ninet-pure/","pending","","no","no"
"30","https://www.bmwride.com/2021-bmw-r-ninet-scrambler-san-jose-ca/","pending","","no","no"
"31","https://www.bmwride.com/2021-bmw-r-nine-t-urban-gs-edition-40-years-gs/","pending","","no","no"
